FUNCAO,M,N,SEED,REPETICAO,COLISOES,T_INS_MED,T_BUS_PRES_MED,NOS_BUS_PRES_MED,T_BUS_AUS_MED,NOS_BUS_AUS_MED,CHECKSUM
MULTIPLICACAO,1000,10000,182890,4,9000,57.479700,148.425200,5.933400,219.286600,10.062800,4986907
MULTIPLICACAO,1000,10000,183890,5,9000,56.397900,167.709800,6.033000,263.724800,10.064600,5000915
MULTIPLICACAO,1000,100000,269890,1,99000,54.494530,1729.425600,51.024340,5653.122960,99.984260,49910262
MULTIPLICACAO,1000,100000,270890,2,99000,68.178220,1332.632840,50.990600,478.971760,99.991380,49827625
MULTIPLICACAO,1000,100000,271890,3,99000,50.461010,304.969660,51.026420,478.261000,100.022520,49933987
MULTIPLICACAO,1000,100000,272890,4,99000,53.072180,1226.058000,51.000500,437.323200,100.022220,49959736
MULTIPLICACAO,1000,100000,273890,5,99000,49.911950,1074.380980,50.995380,411.498020,99.980020,49973786
MULTIPLICACAO,10007,1000,179897,1,67,53.960000,67.590000,1.072000,95.312000,0.124000,4878739
MULTIPLICACAO,10007,1000,180897,2,49,55.762000,62.424000,1.042000,87.112000,0.104000,5087902
MULTIPLICACAO,10007,1000,181897,3,37,60.666000,136.498000,1.046000,131.688000,0.096000,5058923
MULTIPLICACAO,10007,1000,182897,4,49,64.611000,77.178000,1.064000,105.322000,0.122000,4920320
MULTIPLICACAO,10007,1000,183897,5,49,60.739000,69.370000,1.036000,92.744000,0.104000,4910850
MULTIPLICACAO,10007,10000,188897,1,3691,75.461800,317.857600,1.496200,268.363000,0.992600,50192586
MULTIPLICACAO,10007,10000,189897,2,3663,80.510900,325.198600,1.503400,248.302400,0.993600,49875109
MULTIPLICACAO,10007,10000,190897,3,3654,88.123300,324.175200,1.498400,270.459000,0.989400,49656612
MULTIPLICACAO,10007,10000,191897,4,3672,82.402900,334.267200,1.487400,249.085600,1.010800,50142149
MULTIPLICACAO,10007,10000,192897,5,3687,79.520300,304.083000,1.501800,266.158400,1.016200,50004757
MULTIPLICACAO,10007,100000,278897,1,89993,79.879020,611.257160,5.979560,509.974360,9.984420,500689418
MULTIPLICACAO,10007,100000,279897,2,89993,71.059080,620.860720,5.989500,468.441860,9.981720,499585023
MULTIPLICACAO,10007,100000,280897,3,89994,66.135490,367.457980,5.986840,381.963600,9.985000,498308647
MULTIPLICACAO,10007,100000,281897,4,89993,76.847950,303.447940,5.989700,301.908900,9.986700,501066200
MULTIPLICACAO,10007,100000,282897,5,89993,71.010870,315.743520,5.997380,275.762680,10.002940,501425427
